#;Track;Session Title;Session Type;Organizer;Description;Assigned To;Status;Comment
1;DevSecOps;AppSec SOC Monitoring Visualisation;Working;;X;;;
2;DevSecOps;DevSecOps Maturity Model (DSOMM);Working;Francois Raynaud, Puneet Thapliyal, Imran Mohammed A;;;;
3;DevSecOps;Integrating Security Tools in the SDL;Working;Imran Mohammed A;X;;;
4;DevSecOps;OWASP Defect Dojo;Working;Imran Mohammed A;X;;;
5;DevSecOps;Securing GitHub Integrations;Working;;X;;;
6;DevSecOps;Creating Appsec metrics and visualisation;User;Imran Mohammed A;;;;
7;DevSecOps;Integrating Security Tools in the SDL using OWASP DevSecOps Studio;User;Imran Mohammed A;;;;
8;GDPR;Creating an standard for GDPR patterns;Working;Mario Platt;;;;
9;GDPR;DPO how to become one;Working;;;;;
10;GDPR;DPO what to expect;Working;;;;;
11;GDPR;European GDPR variations;Working;;;;;
12;GDPR;GDPR Appropriate Security Controls;Working;Tony Richards;;;;
13;GDPR;GDPR Compliance what does it mean?;Working;;;;;
14;GDPR;GDPR is live, now what?;Working;Ante Gulam;;;;
15;GDPR;Gamification of GDPR compliance;Working;;;;;
16;GDPR;Meet the ICO;Working;Tony Richards;;;;
17;GDPR;Hands-on GDPR Patterns;User;;;;;
18;GDPR;Real world GDPR practices;User;;;;;
19;GDPR;Using Threat Models for GDPR;User;;;;;
20;GDPR;Using graphs for GDPR mappings and visualisations;User;Dinis Cruz;;;;
21;Mobile Security;Automation of MASVS with BDD;Working;Sven Schleier;X;;;
22;Mobile Security;Mobile Security Working Session 2;Working;;;;;
23;Mobile Security;Mobile Security Working Session 3;Working;;;;;
24;Mobile Security;Mobile Security User Session 1;User;;;;;
25;Mobile Security;Mobile Security User Session 2;User;;;;;
26;Mobile Security;Mobile Security User Session 3;User;;;;;
27;OWASP DevSlop;Owasp Devslop Working Session 2;Working;;;;;
28;OWASP DevSlop;Owasp Devslop Working Session 3;Working;;;;;
29;OWASP DevSlop;Pixi Roadmap and Enhancement;Working;Tanya Janca;;;;
30;OWASP DevSlop;Owasp Devslop User Session 2;User;;;;;
31;OWASP DevSlop;Owasp Devslop User Session 3;User;;;;;
32;OWASP DevSlop;Using Pixi;User;Tanya Janca;;;;
33;OWASP SAMM;SAMM benchmarking;Working;;;;;
34;OWASP SAMM;SAMM version 2;Working;Sebastien Deleersnyder;;;;
35;OWASP SAMM;Working Session 1;Working;;;;;
36;OWASP SAMM;Working Session 2;Working;;;;;
37;OWASP SAMM;Working Session 3;Working;;;;;
38;OWASP SAMM;OwaspSAMM - Best Practices;User;;;;;
39;OWASP SAMM;OwaspSAMM - Introduction;User;;;;;
40;OWASP SAMM;User Session 1;User;;;;;
41;OWASP SAMM;User Session 2;User;;;;;
42;OWASP SAMM;User Session 3;User;;;;;
43;Security Pipelines;OWASP Cloud Security Workshop (BETA);Working;Fraser Scott;X;;;
44;Security Pipelines;Securing the CI Pipeline;Working;;X;;;
45;Security Pipelines;Using activity-oriented metrics for Security;Working;;X;;;
46;Threat Model;Attack chains as TM technique;Working;Steven Wierckx;X;;;
47;Threat Model;Describe different ways of implementing TM in agile organisations;Working;Steven Wierckx;X;;;
48;Threat Model;Threat model cheat sheets;Working;Steven Wierckx;X;;;
49;Threat Model;Update Threat Modeling pages on owasp web site;Working;;;;;
50;Threat Model;User Session 2;User;;;;;
51;Threat Model;User Session 3;User;;;;;
